codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
4100103,2017,20170702.5,10.605,21.604999999999997,17.134999999999998,19.259999999999998,27.16,16.26,21.57,13.06,81.69,0.245,94.54,1.26,2.175,0.55,1.63,2.605,4.13,1.275,2.76,4.38,6.4,2.125,4.05,0.73,0.7,0.71,18.02,24.04,33.93,95.02000000000001,124.45500000000001,12.515,0.34,1.705
4100103,2018,20180702.0,11.37,21.46,17.28,19.5,27.76,16.4,21.45,13.12,78.94,0.22,94.51,1.13,2.06,0.48,1.57,2.36,3.82,1.1,2.71,3.98,6.2,1.62,4.25,0.7,0.66,0.68,17.64,23.68,33.99,94.33,124.1,12.38,0.33,1.64
4100103,2019,20190702.0,12.34,23.22,17.0,20.44,29.14,17.5,22.99,12.94,75.25,0.21,94.49,1.2,2.12,0.51,1.63,2.47,4.05,1.15,2.83,4.17,6.38,1.71,4.47,0.61,0.61,0.62,17.92,23.33,33.94,94.09,124.29,12.27,0.34,1.73
4100103,2020,20200701.5,14.35,23.125,15.254999999999999,18.8,29.905,16.045,22.795,11.54,68.59,0.09,94.475,1.23,2.19,0.53,1.6749999999999998,2.51,4.12,1.18,2.92,4.145,6.41,1.77,4.56,0.56,0.58,0.59,19.494999999999997,23.31,34.015,101.78,122.065,13.274999999999999,0.38,1.9449999999999998
4100459,2017,20170702.5,9.42,20.925,16.93,18.93,25.695,16.295,21.060000000000002,12.88,83.88,0.42000000000000004,94.21,0.02,0.21,0.0,0.21,0.95,1.5150000000000001,0.44,1.05,2.41,3.835,1.0550000000000002,2.7,0.75,0.73,0.77,17.53,23.799999999999997,33.655,90.56,123.41999999999999,11.870000000000001,0.32,1.565
4100459,2018,20180702.0,9.48,20.59,17.47,19.09,25.57,16.07,20.69,13.37,83.38,0.32,94.19,0.04,0.3,0.0,0.3,0.94,1.55,0.41,1.11,2.32,3.79,0.92,2.71,0.75,0.73,0.77,17.28,23.61,33.72,91.26,122.28,12.0,0.31,1.59
4100459,2019,20190702.0,9.78,21.71,17.2,19.86,26.72,17.3,21.81,13.12,80.31,0.37,94.18,0.03,0.23,0.0,0.23,0.94,1.55,0.41,1.08,2.36,3.87,0.96,2.74,0.72,0.7,0.73,17.04,23.24,33.67,90.66,123.21,11.67,0.31,1.59
4100459,2020,20200701.5,12.515,21.805,15.225000000000001,18.33,28.32,16.255,21.925,11.54,70.59,0.15,94.14,0.03,0.23,0.0,0.23,0.98,1.58,0.425,1.14,2.49,4.055,1.0150000000000001,2.955,0.67,0.66,0.7,19.1,22.845,33.739999999999995,98.61,119.36500000000001,12.75,0.36,1.77
4100509,2017,20170702.5,11.075,23.675,18.77,20.994999999999997,29.39,18.335,23.41,13.98,79.905,0.33,97.66,1.0550000000000002,1.73,0.61,1.14,2.4000000000000004,3.62,1.46,2.205,4.285,6.085,2.45,3.535,0.75,0.72,0.73,17.92,23.755000000000003,33.93,94.58,124.5,12.195,0.33,1.67
4100509,2018,20180702.0,10.98,23.54,19.05,21.18,29.34,18.23,23.18,14.16,78.75,0.3,97.66,1.01,1.65,0.55,1.12,2.27,3.4,1.3,2.19,4.09,5.91,2.01,3.71,0.74,0.71,0.71,17.93,23.79,33.99,95.24,123.35,12.46,0.33,1.66
