codigo_ibge,date,data,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,anual_prodution
4100103,2004,20040701.5,11.75,21.490000000000002,15.955,18.65,27.455,15.535,21.395,12.05,77.56,0.32,94.52,1.1749999999999998,2.08,0.555,1.52,2.45,3.88,1.1549999999999998,2.64,4.16,6.37,1.7650000000000001,4.2,0.67,0.645,0.66,18.255000000000003,23.37,34.015,94.85,120.435,12.465,0.34,1.6749999999999998,2600.0
4100103,2005,20050702.0,12.42,21.91,16.26,18.93,28.26,16.02,21.72,12.27,75.0,0.32,94.5,1.23,2.16,0.58,1.61,2.56,4.02,1.34,2.72,4.36,6.34,2.08,4.14,0.62,0.62,0.62,18.03,23.24,34.02,93.5,121.12,12.09,0.32,1.62,1750.0
4100103,2006,20060702.0,12.9,22.05,15.86,18.56,28.4,15.7,21.79,12.15,72.69,0.16,94.45,1.18,2.07,0.52,1.59,2.48,3.93,1.24,2.71,4.16,6.32,1.9,4.2,0.6,0.6,0.62,18.22,23.79,33.97,95.69,124.05,12.58,0.34,1.73,2100.0
4100103,2007,20070702.0,11.83,22.16,16.37,19.27,27.93,16.33,21.96,12.45,77.12,0.14,94.5,1.2,2.1,0.55,1.59,2.49,3.94,1.21,2.7,4.23,6.34,1.83,4.22,0.67,0.65,0.66,18.02,23.29,33.93,94.81,119.34,12.27,0.34,1.7,2600.0
4100103,2008,20080701.5,12.14,21.380000000000003,16.02,18.53,27.26,15.445,21.175,12.08,76.22,0.31,94.47,1.2,2.145,0.54,1.57,2.5,4.02,1.2,2.68,4.2,6.390000000000001,1.8,4.18,0.65,0.63,0.65,17.92,23.925,34.010000000000005,97.485,126.76,12.735,0.34,1.77,2600.0
4100103,2009,20090702.0,10.73,21.6,17.58,19.64,27.15,16.37,21.55,13.43,80.94,0.7,94.42,1.15,2.02,0.51,1.53,2.38,3.83,1.14,2.7,4.03,6.26,1.72,4.13,0.75,0.71,0.73,17.56,23.53,34.01,93.52,124.97,12.35,0.33,1.66,2080.0
4100103,2010,20100702.0,10.98,20.94,16.04,18.37,26.74,15.15,21.03,12.15,81.69,0.27,94.45,1.24,2.15,0.55,1.55,2.59,3.98,1.29,2.67,4.37,6.52,1.95,4.12,0.77,0.75,0.78,17.19,22.91,33.99,92.12,119.98,12.05,0.33,1.68,2590.0
4100103,2011,20110702.0,11.99,21.56,15.97,18.69,27.78,15.72,21.44,12.08,76.69,0.27,94.47,1.17,2.05,0.53,1.56,2.42,3.92,1.12,2.74,4.16,6.43,1.66,4.33,0.64,0.63,0.65,17.91,23.71,33.95,95.77,125.18,12.45,0.35,1.74,3350.0
4100103,2012,20120701.5,12.67,22.9,15.64,19.09,28.705,16.325000000000003,22.560000000000002,11.84,72.56,0.14500000000000002,94.45,1.2,2.11,0.57,1.59,2.5,3.97,1.2650000000000001,2.745,4.195,6.33,1.9,3.9450000000000003,0.59,0.59,0.6,18.915,24.11,34.035,98.545,126.49,12.925,0.34,1.73,2320.0
4100103,2013,20130702.0,11.26,20.63,16.44,18.55,26.51,15.55,20.57,12.39,79.75,0.14,94.48,1.2,2.15,0.56,1.55,2.52,4.07,1.26,2.71,4.27,6.55,2.0,4.22,0.72,0.69,0.71,18.13,23.67,34.02,95.27,124.16,12.39,0.34,1.71,3100.0
